company_contact_name,signed_poa,signed_by,account_status,client_id,client_name,company_name,company_fein,company_phone,address_line_1,address_line_2,city,state,zip_code,wotc_poa_valid,percentage,states_company_registered,filled_unfilled,company_id
Eli Goldberg - CFO,NaN,,Active,14,Priority Group,Oculus Health LLC,92-3073308,757-429-5555,4445 Corporation Lane,,Virginia Beach,VA,23462.0,through 04/01/2028,20.0,VA,filled,1
Josh Klein,1.0,Albert Salem - CFO,Active,15,Royal Care Group,The Royal Care Fi LLC,47-2568354,718-851-3800,6323 14th Ave,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,2
Faye Klein,1.0,Albert Salem - CFO,Active,15,Royal Care Group,The Royal Care Inc,11-2905065,718-851-3800,6323 14th Ave,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,3
Josh Klein,1.0,Albert Salem - CFO,Active,15,Royal Care Group,Emerest Health Of Connecticut LLC,47-3538763,718-851-3800,6323 14th Ave,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,CT,unfilled,4
Josh Klein,1.0,Albert Salem - CFO,Active,15,Royal Care Group,Emerest Health Of New Jersey LLC,46-3708697,718-851-3800,6323 14th Ave,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NJ,unfilled,5
Registered employees,1.0,Baila Wigder - CFO,Active,5,Empeon Group,Aj Licensed Behavior Analyst Pc,82-3396945,212-481-4040,6214 24th Avenue,,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,6
,1.0,Baila Wigder - CFO,Active,5,Empeon Group,Bk Healthcare Management LLC,82-3837640,212-481-4040,6214 24th Avenue,,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,7
Boris Kucher,1.0,"boris@bnvhomecare.com ",Active,3,BNV,Bnv Home Care Agency Inc.,20-4349734,718-459-1900,96-60 Queens Blvd,,"Rego Park ",NY,11374.0,through 04/01/2028,12.5,NY,filled - report needed + highlite eligible ones green and copy paste into filled,8
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,Elener Associates,20-1795615,718-840-3355,"6355 Broadway ",,"Bronx ",NY,10471.0,through 04/01/2028,20.0,NY,unfilled,9
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,The W Group At Bronxwood Payroll,85-4294240,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,10
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,The W Group At Catskill,81-4712666,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,11
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,The W Group At Hudson,81-4756437,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,12
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,The W Group At New Broadview,81-4762564,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,13
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,W Group Day Care LLC,87-1570142,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,14
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,W Group Jeffersonville LLC,81-2565192,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,15
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,W Group Management Services,84-4019729,718-840-3355,"2358 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,16
,1.0,Isaac Lipchitz - CFO,Active,17,The W Group,W Physicians Group,85-4306779,718-840-3355,"2357 60th Street ",,Brooklyn,NY,11204.0,through 04/01/2028,20.0,NY,unfilled,17
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,"Dynamic Building Services Inc  ",46-3990549,718-484-1998,1370 60th Street,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,18
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,"Platinum Amenity Services ",46-2819924,718-484-1998,1370 60th Street,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,19
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,Platinum Building Services Corp.,82-3426181,718-484-1998,1370 60th Street,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,20
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,Platinum Lifestyle Ltd.,81-2169962,718-484-1998,1370 60th Street,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,21
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,"Pbs Service Inc ",45-2065976,718-484-1998,4403 15th Avenue,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,22
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,Proactive Maintenance Plus,27-5006050,718-484-1998,4403 15th Avenue,,Brooklyn,NY,11219.0,through 04/01/2028,20.0,NY,unfilled,23
Joel Berkowitz,1.0,Joel Berkowitz,Active,13,Pbs Group,Brio Clean Inc,84-2733512,718-484-1998,"6002 New Utrecht Ave ",,"Brooklyn ","NY ",11219.0,through 04/01/2028,20.0,NY,unfilled,24
